5,19,4,2,3,3,6,6,13,5,2,5,2,3,2,2,2,5,6,12,6,7,6,13,3,2,4,6,7,2,12,5
登録日,1営業日日付,銘柄コード,銘柄名,株価,MACD,PER,PBR,権利落日,1営業日日付,1営業日株価,3営業日日付,3営業日株価,5営業日日付,5営業日株価
2022-07-07,2022/07/08,6268,ナブテスコ,3365,32.8,17.3,1.72,なし,22/07/08,3355,22/07/12,3075,22/07/14,3080
2022-07-07,2022/07/08,5232,住友大阪セメント,3575,4.6,18.0,0.61,なし,22/07/08,4460,22/07/12,4420,22/07/14,4470
2022-07-07,2022/07/08,0000,日経平均株価,26490.53,0,0,0,なし,22/07/08,26517.19,22/07/12,26336.66,22/07/14,26643.39
2022-07-08,2022/07/11,6728,アルバック,4755,-201.4,13.0,1.30,なし,22/07/11,2140.0,22/07/13,2092.0,22/07/15,2106.0
2022-07-08,2022/07/11,6479,ミネベアミツミ,2329,-27.7,12.4,1.76,なし,22/07/11,2330,22/07/13,2266,22/07/15,2292
2022-07-08,2022/07/11,6326,クボタ,2095.0,-85.1,14.1,1.41,なし,22/07/11,4730,22/07/13,4645,22/07/15,4640
2022-07-08,2022/07/11,6923,スタンレー電気,2296,-27.8,14.9,0.85,なし,22/07/11,6100,22/07/13,5990,22/07/15,6100
2022-07-08,2022/07/11,9104,商船三井,3130,-104.5,2.3,0.89,3月末日・9月末日,22/07/11,2338,22/07/13,2284,22/07/15,2315
2022-07-08,2022/07/11,6856,堀場製作所,6040,-179.4,10.0,1.21,なし,22/07/11,3100,22/07/13,3095,22/07/15,3195
2022-07-08,2022/07/11,0000,日経平均株価,26517.19,0,0,0,なし,22/07/11,26812.30,22/07/13,26478.77,22/07/15,26788.47
2022-07-12,2022/07/13,1928,積水ハウス,2362.5,8.5,10.0,1.04,1月末日,22/07/13,2345.0,22/07/15,2341.5,22/07/20,2404.0
2022-07-12,2022/07/13,0000,日経平均株価,26336.66,0,0,0,なし,22/07/13,26478.77,22/07/15,26788.47,22/07/20,27680.26
